index,B07[C-N],Se,F08[C-C],CATS2D_04_DL,CATS2D_02_DL,pEC50
0,1,41.49,8,9,1,7.745
1,1,39.94,9,9,1,7.432
2,1,38.25,10,9,2,7.0
3,1,34.95,9,9,1,6.481
4,1,31.48,9,9,1,5.387
5,0,28.64,8,9,1,4.658
